Year,Industry,Average Call Duration (min),Hold Time (sec),Abandonment Rate (%),ASA (sec),ACW (sec),Sentiment Score,CSAT (%),Churn Rate (%),First Call Resolution (FCR %),Average Waiting Time (AWT sec),Average Handle Time (AHT min),Call Transfer Rate (%)
2021,Telecommunications,4.87,4.3,9.04,7.63,75.39,0.83,81.62,9.12,72.11,50.35,9.54,8.78
2021,Healthcare,4.35,4.35,5.33,5.02,82.54,0.58,93.14,11.94,79.38,36.46,5.01,8.86
2021,Transportation,4.6,6.97,7.61,9.11,47.96,0.34,88.11,5.91,75.79,53.67,9.22,7.3
2021,Technology,3.55,3.38,8.38,12.99,74.11,0.29,71.78,10.76,93.85,21.15,8.89,3.66
2021,Finance,4.71,5.01,5.71,11.08,66.94,0.15,90.26,10.94,89.79,37.91,8.89,4.15
2023,Finance,4.22,4.25,8.4,11.65,71.91,0.33,95.15,6.97,80.07,41.11,10.75,8.39
2023,Finance,5.88,5.22,8.11,10.2,85.93,0.84,72.1,9.38,87.12,25.32,10.58,9.64
2024,Retail,6.82,5.51,6.34,11.27,50.43,0.12,94.0,5.77,90.6,38.42,8.91,4.93
2023,Finance,6.2,4.14,8.84,8.03,77.21,0.69,76.47,7.71,94.94,46.0,6.39,5.36
2021,Telecommunications,5.91,6.22,5.59,9.14,75.91,0.91,72.98,9.95,78.99,34.52,10.7,6.08
2021,Healthcare,3.13,7.0,9.3,6.71,80.24,0.97,95.38,14.38,89.13,23.28,7.79,6.74
2021,Finance,4.85,5.18,7.04,5.33,46.67,0.95,81.05,13.24,74.33,48.88,7.2,7.07
2022,Transportation,6.23,6.6,7.98,9.26,74.56,0.37,92.88,5.63,89.22,25.29,9.71,5.18
2022,Finance,5.93,6.9,5.66,5.96,64.76,0.22,79.35,6.07,83.6,54.66,5.39,7.93
2021,Technology,4.78,3.0,9.16,14.86,68.32,0.49,98.32,8.37,92.94,57.81,9.29,3.53
2022,Healthcare,4.19,4.11,8.78,6.15,68.67,0.67,78.6,8.49,85.15,38.1,10.43,9.03
2021,Telecommunications,5.97,3.38,9.7,8.39,86.72,0.61,82.31,13.1,85.13,41.27,10.87,8.78
2022,Healthcare,4.96,6.03,8.3,7.54,71.7,0.89,97.25,13.97,84.14,58.25,7.74,1.07
2023,Retail,3.36,3.77,7.8,11.42,58.68,0.69,74.24,12.36,75.89,21.32,8.22,3.04
2023,Transportation,3.42,5.54,9.14,6.14,47.49,0.35,87.38,14.85,91.75,54.24,5.13,6.82
2022,Technology,5.37,5.33,7.75,12.18,86.94,0.46,89.45,8.99,72.12,40.25,11.41,4.81
2021,Technology,5.07,4.24,7.37,9.68,67.81,0.62,78.21,12.67,76.82,57.74,10.29,6.26
2023,Transportation,4.4,6.13,8.42,11.22,89.61,0.02,74.09,14.06,88.46,43.64,9.34,9.24
2022,Transportation,3.33,6.93,5.78,9.33,50.57,0.24,91.38,7.92,82.78,50.45,7.88,5.57
2024,Retail,3.63,6.2,7.12,9.58,79.37,0.86,85.96,10.8,71.35,28.66,9.0,9.0
2022,Finance,3.67,5.52,9.85,12.85,67.61,0.07,94.25,14.35,86.92,29.79,9.69,2.12
2021,Technology,3.67,3.51,8.71,7.13,88.91,0.19,71.1,5.14,81.58,35.96,7.72,2.13
2024,Healthcare,4.47,5.79,7.72,8.17,81.71,0.08,95.13,13.25,74.84,41.01,11.9,1.05
2024,Retail,5.63,4.41,6.27,10.24,49.32,0.3,85.26,11.28,85.52,43.81,8.09,8.04
2022,Healthcare,5.82,4.28,8.37,6.72,73.4,0.95,80.3,6.95,83.2,31.95,10.72,1.68
2021,Retail,3.22,5.54,6.52,5.35,77.97,0.89,99.15,8.79,74.15,52.31,10.95,9.95
2024,Telecommunications,3.55,5.48,5.96,5.9,39.57,0.28,80.45,14.95,85.77,31.17,5.99,3.97
2021,Telecommunications,3.5,5.06,9.18,5.72,64.29,0.61,84.73,7.86,89.07,42.62,8.64,3.11
2023,Technology,3.94,6.85,5.25,8.35,84.23,0.73,95.36,7.34,87.0,23.75,11.78,8.68
2021,Technology,5.77,6.85,6.84,5.23,56.51,0.92,92.53,13.22,79.79,25.12,11.66,8.84
2024,Finance,5.51,6.35,9.24,12.17,62.23,0.18,90.93,10.89,73.96,54.62,5.99,9.36
2021,Telecommunications,3.15,4.5,5.81,10.73,79.71,0.6,96.76,10.02,82.96,27.57,5.15,6.12
2024,Retail,6.76,5.95,5.05,9.59,59.64,0.38,81.78,12.06,89.29,28.26,8.33,5.05
2021,Technology,5.85,6.4,6.88,8.03,51.61,0.26,91.99,5.57,94.59,57.68,5.0,2.06
2024,Transportation,6.86,6.53,9.32,5.09,46.1,0.67,80.23,7.62,91.14,40.48,8.26,8.91
2024,Retail,4.93,3.94,7.45,13.42,30.99,0.28,81.18,13.78,72.58,29.04,11.47,9.58
2022,Technology,4.26,4.09,8.37,7.48,85.27,0.82,81.86,10.23,93.35,28.24,8.79,8.53
2023,Technology,4.71,5.65,6.1,10.65,54.69,0.23,77.42,9.11,86.98,52.86,10.16,6.74
2023,Telecommunications,3.8,5.26,6.31,7.85,59.71,0.04,74.19,5.78,75.76,24.43,11.43,3.39
2023,Transportation,3.31,4.43,8.22,10.06,65.02,0.93,96.81,10.59,77.03,29.49,5.14,2.77
2021,Finance,5.16,3.83,5.33,12.87,49.31,0.92,83.72,5.77,90.06,32.0,10.7,3.1
2024,Healthcare,5.43,5.98,5.8,6.51,44.35,0.83,86.46,13.89,73.24,20.43,9.33,2.89
2024,Technology,5.64,3.29,7.32,6.95,51.84,0.79,76.51,6.81,79.48,25.67,8.0,1.02
2021,Retail,6.88,3.34,7.48,13.62,43.02,0.38,90.45,7.72,76.03,52.57,11.95,2.89
2021,Transportation,6.48,5.47,6.3,5.99,40.74,0.61,81.53,13.37,71.12,57.6,11.53,4.47
2022,Retail,4.71,3.24,6.88,5.92,35.24,0.71,98.19,12.41,77.08,33.81,10.22,1.3
2022,Telecommunications,3.17,4.53,9.02,11.35,84.94,0.83,94.88,6.99,75.07,20.52,7.26,6.24
2021,Transportation,5.06,4.86,9.34,14.88,89.54,0.43,86.44,9.19,76.47,22.18,9.69,5.46
2024,Technology,4.38,3.78,8.0,9.44,69.21,0.98,96.37,14.45,81.51,29.58,8.45,6.75
2024,Telecommunications,6.43,6.13,8.8,7.99,40.2,0.11,89.65,10.73,78.87,53.57,5.47,8.91
2021,Telecommunications,3.11,6.79,5.14,11.67,64.56,0.33,70.7,9.58,89.34,41.28,5.63,3.58
2023,Transportation,3.83,6.32,8.26,7.82,58.89,0.53,83.25,12.84,91.66,25.09,6.84,7.17
2023,Healthcare,5.33,5.11,8.48,9.39,77.33,0.1,74.45,8.57,77.59,48.16,9.42,1.29
2024,Telecommunications,5.3,4.55,5.81,12.02,81.94,0.02,91.19,10.45,92.04,35.45,5.24,6.65
2023,Technology,4.09,6.97,8.86,9.07,35.99,0.66,73.15,11.45,79.69,38.36,11.22,3.92
2023,Technology,3.75,3.58,6.16,7.01,59.51,0.46,99.68,8.14,84.93,44.16,9.23,2.76
2022,Healthcare,4.08,3.32,7.82,11.32,60.79,0.11,76.56,12.23,92.5,45.49,9.18,6.5
2023,Healthcare,4.44,4.19,5.52,7.74,83.59,0.49,91.57,9.7,82.58,41.17,10.08,4.09
2022,Healthcare,6.66,6.27,9.46,5.13,67.88,0.51,89.7,9.52,72.38,52.12,9.24,7.28
2023,Healthcare,6.53,4.14,6.92,6.91,75.28,0.82,77.25,10.25,70.24,37.19,8.74,2.3
2022,Transportation,3.65,3.35,8.84,8.52,49.45,0.68,80.19,6.54,71.12,31.65,9.51,1.32
2022,Healthcare,5.7,6.88,8.83,7.93,51.42,0.5,93.1,5.97,80.33,31.6,6.64,3.07
2022,Retail,3.89,6.14,5.83,8.35,60.66,0.34,99.58,9.23,72.03,38.98,7.5,9.89
2022,Transportation,5.1,4.85,6.37,10.89,86.36,0.1,82.37,8.85,76.64,22.28,8.03,4.52
2021,Transportation,6.54,4.75,6.33,12.75,53.33,0.69,87.39,8.72,94.36,57.72,11.1,7.85
2021,Telecommunications,3.64,3.36,8.34,6.45,66.69,0.76,71.67,12.73,83.76,51.53,9.78,2.14
2022,Transportation,4.44,6.19,9.12,7.92,62.38,0.66,89.65,9.93,78.51,27.16,11.4,9.3
2021,Healthcare,6.55,5.05,8.17,8.51,42.91,0.25,72.01,11.26,87.28,36.35,7.33,6.59
2023,Telecommunications,4.51,4.15,8.81,10.57,52.92,0.29,87.02,13.18,84.93,59.02,8.09,8.18
2024,Finance,4.53,6.84,7.82,8.14,72.37,0.04,86.09,11.95,70.09,35.84,8.96,6.91
2022,Technology,6.16,6.05,8.48,14.24,84.32,0.1,86.88,10.31,81.74,28.66,11.51,2.45
2021,Technology,3.81,4.56,7.43,7.14,44.95,0.13,91.58,11.38,78.07,34.77,11.54,8.46
2024,Finance,6.52,3.73,6.11,11.48,33.05,0.83,82.77,13.74,72.89,49.05,9.1,8.41
2024,Transportation,6.13,6.19,8.04,8.47,69.81,0.41,92.36,12.15,86.21,26.11,10.58,2.08
2024,Retail,6.22,3.65,9.05,13.81,87.08,0.14,99.69,12.52,89.11,55.82,8.72,4.42
2021,Healthcare,5.8,4.37,6.28,12.6,83.64,0.87,73.28,5.91,71.02,48.95,6.15,7.76
2022,Transportation,5.06,5.84,5.81,5.26,39.66,0.43,83.44,11.51,87.55,51.01,7.07,7.53
2021,Technology,4.21,4.12,6.06,8.2,88.34,0.89,97.45,10.61,73.94,55.09,5.45,3.33
2022,Retail,3.5,4.86,5.8,10.7,53.11,0.48,79.3,12.02,77.82,20.7,5.69,9.56
2021,Healthcare,4.61,6.25,5.58,7.33,84.76,0.96,83.46,14.49,85.62,42.8,7.15,7.77
2021,Technology,4.57,3.07,9.52,14.72,44.86,0.38,86.57,10.96,91.41,37.81,5.74,4.46
2021,Telecommunications,4.49,6.27,8.57,13.37,81.13,0.72,98.71,10.46,93.75,52.54,7.4,6.47
2021,Telecommunications,5.35,5.91,5.15,11.35,75.71,0.5,98.83,11.96,86.43,45.02,10.16,6.24
2022,Transportation,3.18,4.83,7.03,6.43,71.43,0.36,72.99,10.51,82.4,57.59,8.86,6.1
2023,Technology,6.0,4.43,9.46,5.08,69.14,0.9,98.87,9.12,73.18,48.7,10.08,9.73
2024,Finance,5.44,4.33,7.55,5.81,55.65,0.43,84.06,14.16,81.72,25.52,8.04,5.03
2023,Retail,4.71,5.87,6.89,12.28,82.79,0.01,82.58,12.45,91.08,45.19,9.86,5.89
2022,Technology,3.44,3.37,7.31,8.02,75.21,0.52,87.73,11.13,90.77,33.05,5.23,8.17
2024,Transportation,5.65,4.46,5.27,5.36,64.1,0.41,83.63,6.42,87.59,57.38,5.41,8.88
2021,Technology,4.62,3.72,5.99,11.83,47.6,0.36,84.07,13.14,73.74,39.83,5.99,6.55
2022,Telecommunications,3.67,4.75,6.55,7.87,67.04,0.93,81.8,6.63,73.58,51.99,5.62,4.3
2021,Retail,4.44,5.48,6.22,5.81,81.12,0.27,80.14,11.85,84.16,39.1,7.64,9.22
2023,Technology,6.96,6.32,6.81,5.21,52.91,0.75,84.62,10.0,83.2,37.61,8.34,6.0
2024,Retail,6.53,4.09,8.48,10.8,55.22,0.36,99.68,7.24,74.45,50.22,7.61,9.24
2022,Finance,5.47,4.98,6.98,6.39,69.81,0.07,78.98,12.76,90.21,55.93,7.14,2.1
2021,Telecommunications,3.33,6.44,9.82,7.74,64.89,0.84,83.74,12.76,79.35,51.62,7.55,5.06
2021,Transportation,4.77,5.44,5.95,10.02,65.98,0.78,83.51,8.22,87.46,48.12,6.7,5.3
2021,Transportation,5.96,4.92,7.06,12.56,69.1,0.64,88.18,5.03,93.82,34.18,11.48,6.05
2022,Transportation,5.77,5.89,8.58,10.48,88.05,0.85,96.52,6.64,91.28,37.46,8.0,3.41
2024,Retail,3.15,4.67,8.91,10.04,86.52,0.33,93.24,14.35,84.87,20.29,7.49,9.31
2024,Healthcare,3.79,5.94,6.56,11.83,71.98,0.56,83.32,13.78,86.59,42.05,10.2,3.78
2024,Transportation,3.98,6.61,5.95,13.5,69.83,0.87,79.63,11.62,76.44,48.53,8.19,6.53
2023,Telecommunications,4.49,5.81,9.82,10.41,51.71,0.7,82.18,5.8,84.28,34.81,9.01,9.21
2024,Healthcare,6.42,6.97,9.69,13.19,55.82,0.11,97.59,8.03,71.74,47.56,10.85,4.15
2023,Retail,3.96,6.22,8.74,10.27,38.41,0.19,75.61,7.69,87.92,21.62,8.63,7.91
2022,Finance,3.1,6.98,6.86,6.7,68.9,0.06,98.46,6.7,87.57,46.15,10.64,7.85
2021,Healthcare,3.1,3.82,7.99,12.19,45.72,0.36,91.42,14.32,92.07,33.96,5.4,6.32
2024,Healthcare,5.57,5.74,5.14,14.66,70.16,0.29,81.35,10.79,84.82,44.36,7.99,3.32
2021,Technology,3.1,4.37,8.59,10.61,58.86,0.46,91.93,5.76,85.63,33.3,7.97,6.91
2024,Transportation,3.55,5.19,6.37,7.07,36.31,0.42,87.13,6.49,86.34,30.08,10.47,4.2
2022,Technology,5.27,6.35,5.23,14.43,40.82,0.87,85.86,14.79,87.61,57.95,11.58,8.13
2022,Transportation,4.52,5.45,7.23,14.66,87.07,0.86,85.72,14.3,76.52,29.63,5.9,8.09
2023,Technology,5.44,4.96,9.23,8.01,70.74,0.92,76.4,12.95,94.98,56.16,7.99,1.74
2021,Telecommunications,3.11,4.53,8.93,6.66,37.15,0.28,74.26,5.59,79.96,34.54,6.76,7.68
2024,Transportation,6.44,5.95,8.1,11.36,47.26,0.86,86.69,5.75,91.13,51.64,9.94,4.88
2021,Technology,3.03,4.71,5.91,6.54,80.8,0.64,73.09,11.38,90.13,37.65,9.38,8.2
2023,Healthcare,3.42,3.27,9.77,12.84,68.23,0.35,77.4,12.44,94.76,43.64,8.67,9.43
2024,Healthcare,3.58,4.81,8.51,7.54,41.19,0.21,71.83,14.85,92.46,31.29,6.42,1.41
2023,Healthcare,3.95,4.78,9.24,10.91,85.85,0.81,96.81,7.89,90.53,39.16,6.24,6.26
2021,Technology,3.56,5.59,6.69,12.37,44.19,0.8,70.37,6.57,82.69,51.37,6.71,7.18
2022,Technology,4.27,5.27,8.45,6.32,85.78,0.07,74.67,6.2,75.58,42.02,7.98,5.26
2023,Retail,6.85,6.44,5.04,14.9,72.9,0.48,96.92,12.4,75.21,58.59,9.15,1.27
2021,Finance,5.26,3.64,8.98,9.42,71.32,0.87,70.33,6.44,78.05,42.58,8.71,2.29
2023,Retail,4.31,4.11,6.0,9.79,53.05,0.55,81.19,12.24,83.7,27.63,7.26,7.76
2023,Transportation,5.61,4.17,6.24,12.29,48.37,0.16,84.97,12.99,76.2,46.84,6.34,4.27
2022,Technology,3.47,4.7,9.13,5.13,60.58,0.06,87.4,5.99,71.34,26.18,11.05,1.87
2022,Telecommunications,5.06,6.13,6.77,12.42,47.94,0.15,76.76,14.9,78.25,59.63,8.82,9.06
2022,Telecommunications,6.6,6.81,7.16,9.65,66.41,0.09,94.71,9.03,86.77,26.27,11.73,9.75
2021,Transportation,5.51,6.52,6.37,13.07,55.34,0.35,73.28,11.67,73.09,33.59,7.86,2.24
2023,Retail,3.53,6.73,8.68,8.18,44.11,1.0,88.09,8.83,90.72,54.33,7.44,4.11
2024,Telecommunications,4.32,4.74,9.85,10.87,54.26,0.49,73.83,5.69,87.92,42.92,8.96,7.63
2022,Transportation,5.65,4.66,8.36,14.07,36.99,0.2,72.21,13.91,78.31,23.47,6.17,7.58
2021,Transportation,5.17,3.49,5.81,7.32,59.72,0.28,89.73,14.23,81.28,42.7,10.5,9.37
2022,Transportation,5.68,4.03,8.31,9.1,31.5,0.15,81.75,12.89,71.09,53.47,11.41,8.74
2024,Retail,5.6,3.97,9.92,10.26,45.12,0.8,93.02,10.79,94.46,24.21,9.61,2.38
2023,Technology,4.43,5.18,9.38,13.37,78.42,0.13,82.03,11.94,84.45,54.15,10.62,5.25
2021,Retail,6.41,6.03,7.65,14.38,48.56,0.09,76.1,14.3,77.74,41.01,8.1,3.37
2021,Retail,5.65,3.93,9.22,13.91,33.8,0.03,80.14,12.05,81.21,25.32,10.24,5.26
2022,Retail,5.23,4.26,9.73,6.58,46.61,0.93,96.86,10.34,84.48,54.21,8.08,9.77
2023,Healthcare,3.61,6.56,7.99,7.26,33.05,0.36,96.09,9.69,85.17,46.96,7.58,3.88
2021,Technology,6.74,6.79,5.16,14.93,76.19,0.25,99.83,13.68,77.26,35.04,6.15,5.24
2022,Healthcare,4.14,5.41,6.34,7.86,62.75,0.43,79.85,12.96,91.77,49.41,11.72,3.04
2023,Healthcare,6.24,3.3,6.57,10.72,70.07,0.78,85.25,12.31,75.81,29.93,7.28,5.61
2023,Retail,5.84,3.46,7.72,11.73,53.91,0.19,76.47,6.46,76.27,49.17,10.76,7.6
2023,Transportation,5.5,5.53,6.16,14.4,82.33,0.39,97.76,11.42,73.58,30.47,7.9,7.81
2021,Telecommunications,3.16,6.79,9.2,8.04,78.27,0.33,80.47,8.53,89.37,57.36,8.25,8.59
2024,Transportation,5.86,3.13,9.85,10.27,83.61,0.62,88.0,13.64,75.74,45.27,5.97,5.18
2023,Healthcare,3.47,6.61,9.2,14.81,87.71,0.45,71.38,13.52,75.72,39.44,10.4,5.6
2023,Retail,3.51,4.41,7.44,9.25,62.89,0.79,99.62,12.74,79.34,52.65,11.09,9.3
2023,Transportation,3.21,6.8,5.88,10.97,54.43,0.84,99.37,7.64,72.29,34.16,9.94,3.8
2024,Finance,5.65,5.91,8.8,10.32,76.84,0.36,77.6,11.11,91.64,49.35,6.72,7.48
2021,Telecommunications,3.94,3.78,5.58,5.61,85.62,0.28,91.35,10.41,73.17,54.17,11.42,7.07
2021,Transportation,4.37,6.92,8.99,5.28,76.49,0.88,78.01,13.29,81.16,51.33,11.62,8.28
2021,Technology,3.27,3.59,7.41,11.88,35.15,0.11,95.53,11.39,94.62,28.0,9.64,1.59
2023,Healthcare,5.99,4.82,6.32,10.64,67.26,0.15,89.57,13.79,70.55,29.7,5.81,6.76
2022,Healthcare,5.8,5.48,6.0,13.85,64.71,0.3,75.32,8.81,83.94,22.18,11.77,5.09
2024,Retail,3.84,3.92,7.72,14.73,65.97,0.62,93.16,10.55,83.25,35.11,8.83,9.92
2022,Retail,5.59,3.07,7.43,12.55,39.03,0.65,93.98,11.84,72.7,36.7,7.83,7.88
2021,Telecommunications,3.05,4.35,7.23,12.82,60.59,0.35,95.86,14.5,80.96,34.44,5.42,9.4
2023,Retail,3.86,6.7,7.22,14.18,86.85,0.29,88.65,13.71,94.49,31.22,10.05,6.53
2024,Telecommunications,5.26,6.5,5.78,8.61,41.48,0.24,92.79,7.23,77.17,52.84,9.62,9.23
2021,Telecommunications,5.92,5.85,7.68,9.3,56.81,0.1,80.52,12.27,89.63,52.56,5.17,7.52
2021,Transportation,6.75,6.0,8.58,11.44,45.37,0.85,97.17,13.07,77.76,31.12,11.71,5.57
2023,Transportation,6.46,6.53,9.25,6.07,86.58,0.28,75.52,14.5,74.37,39.49,8.32,8.52
2023,Healthcare,3.03,5.23,9.92,6.74,42.67,0.22,95.69,9.93,87.68,56.51,10.18,1.75
2024,Transportation,4.52,6.47,7.0,14.49,51.85,0.4,70.11,9.1,92.69,28.88,7.49,4.7
2024,Technology,5.46,6.94,8.15,5.47,55.72,0.79,80.92,14.53,87.94,56.26,11.18,9.8
2023,Healthcare,3.45,3.34,8.15,14.69,71.73,0.5,84.64,12.13,85.95,38.43,6.58,6.77
2022,Finance,5.5,6.81,7.25,11.2,63.06,0.21,74.16,13.0,76.19,39.08,7.44,8.91
2021,Technology,5.62,5.79,9.29,11.94,76.48,0.82,88.83,5.68,74.83,48.0,6.88,9.64
2022,Telecommunications,3.84,5.67,6.36,11.33,35.36,0.09,94.03,12.78,87.83,41.57,6.66,4.49
2022,Finance,5.12,5.81,5.44,12.01,71.09,0.47,72.56,5.84,76.95,38.17,11.46,3.37
2022,Healthcare,4.46,3.13,5.63,5.11,89.25,0.34,81.29,11.99,73.4,39.66,11.84,2.25
2024,Telecommunications,3.23,6.96,9.3,8.6,68.58,0.65,95.39,11.18,76.35,46.57,8.42,6.84
2022,Transportation,5.38,3.27,6.2,9.55,42.13,0.16,75.35,10.94,75.28,25.42,8.81,2.7
2023,Transportation,6.69,6.14,8.53,11.25,72.7,0.43,87.26,10.55,93.32,54.93,6.39,8.31
2022,Healthcare,5.23,4.94,7.89,6.05,49.59,0.2,89.23,14.64,87.39,52.05,6.46,6.91
2024,Healthcare,5.13,6.98,9.66,9.89,79.59,0.06,78.27,12.63,84.21,38.16,5.78,6.87
2023,Healthcare,3.5,3.67,8.27,12.58,80.52,0.4,74.88,6.6,70.9,27.83,11.19,6.34
2022,Finance,6.34,6.76,6.36,11.17,49.59,0.6,72.44,13.52,91.64,20.6,10.24,6.58
2021,Transportation,6.25,5.87,9.67,12.01,37.05,0.43,81.35,9.34,76.2,33.07,9.9,6.37
2023,Technology,5.42,5.96,9.82,14.96,78.06,0.3,82.51,8.56,88.9,54.88,8.27,2.75
2022,Retail,5.18,6.73,7.76,5.91,32.6,0.8,85.82,11.19,88.78,36.23,5.35,2.0
2022,Retail,5.31,3.56,6.82,14.16,32.34,0.19,90.68,6.86,72.75,55.38,11.66,9.86
2023,Healthcare,3.68,6.32,5.61,12.27,84.18,0.42,71.27,14.4,89.14,35.97,6.49,6.46
2021,Technology,4.37,6.26,5.12,11.58,85.74,0.4,73.96,12.33,92.88,45.41,11.66,9.92
2022,Retail,3.31,5.25,8.96,9.65,34.64,0.55,91.16,7.47,82.41,27.58,5.07,5.65
2023,Retail,3.6,4.89,8.23,10.62,81.02,0.86,86.55,7.93,87.74,25.34,7.68,4.59
2021,Retail,6.99,3.13,6.09,14.71,55.52,0.68,95.16,13.66,92.89,45.86,6.08,3.26
2023,Technology,6.33,6.72,7.14,13.66,34.29,0.68,99.84,9.42,93.87,43.37,6.45,3.91
2023,Finance,3.16,4.84,6.5,12.42,67.28,0.36,73.29,14.45,81.05,21.02,9.53,3.92
2022,Healthcare,6.53,6.96,9.31,5.88,45.77,0.47,76.61,11.92,79.44,22.78,10.55,1.63
2022,Healthcare,5.09,4.81,7.44,9.8,85.02,0.99,91.8,9.17,87.99,57.98,5.58,9.35
2022,Telecommunications,5.27,4.79,7.8,5.68,69.14,0.4,77.78,9.2,75.11,58.78,10.17,6.15
2024,Transportation,6.82,4.62,7.78,8.97,45.21,0.35,78.92,8.98,81.43,36.15,9.22,4.22
2023,Healthcare,3.51,6.91,6.12,6.81,85.14,0.13,86.14,13.87,73.8,49.98,10.12,5.37
2022,Telecommunications,4.62,5.69,9.81,13.52,77.69,0.7,84.66,9.62,91.24,53.63,7.65,7.41
2023,Healthcare,3.73,4.89,6.58,14.92,77.65,0.55,85.01,13.69,90.85,31.06,9.04,1.44
2021,Retail,5.14,5.2,5.97,14.65,51.07,0.41,78.2,9.71,88.53,23.91,6.58,4.13
2023,Technology,3.77,3.02,9.97,8.51,45.45,0.69,96.65,7.05,94.85,23.31,11.29,9.3
2022,Transportation,5.54,3.88,7.84,7.62,73.06,0.46,78.7,13.97,92.16,28.56,11.78,1.27
2022,Telecommunications,5.0,5.57,7.07,8.45,73.08,0.82,95.28,10.63,72.12,31.44,11.08,7.97
2024,Healthcare,3.2,4.76,5.11,13.35,47.93,0.24,75.66,12.31,85.94,23.48,6.05,6.86
2023,Transportation,6.62,5.82,7.48,10.18,75.53,0.56,95.33,10.89,70.85,59.95,6.26,5.86
2024,Finance,3.22,5.12,9.27,7.29,89.55,0.11,93.9,10.35,75.03,38.86,11.39,6.49
2024,Healthcare,4.8,6.08,6.61,8.28,53.48,0.07,76.44,12.88,87.76,33.68,8.76,3.49
2022,Healthcare,6.62,5.33,6.89,9.23,35.26,0.52,84.47,7.6,89.36,58.02,9.14,7.44
2024,Healthcare,3.43,5.36,8.08,11.83,53.27,0.91,87.63,8.58,72.42,43.86,7.56,1.16
2024,Technology,5.36,3.32,8.79,13.61,54.48,0.39,78.34,9.05,83.53,40.16,8.57,5.55
2022,Transportation,3.66,4.11,5.12,12.0,36.52,0.03,99.74,6.45,77.47,25.91,9.91,9.97
2023,Retail,4.51,5.82,9.96,8.9,63.11,0.19,84.03,13.33,75.44,23.85,5.83,9.4
2021,Finance,4.07,4.15,9.04,13.32,58.67,0.87,97.29,6.54,84.86,27.13,8.6,7.67
2024,Telecommunications,7.0,4.3,8.93,7.84,43.43,0.73,77.61,12.45,82.06,27.31,10.86,7.33
2024,Technology,4.23,5.95,5.33,12.04,38.96,0.13,95.13,14.04,94.14,22.64,11.29,4.23
2021,Retail,3.56,5.14,7.52,11.09,52.51,0.86,95.02,13.81,82.54,43.29,6.79,1.22
